period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,60,Bidder Andy,bid,43.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,44.0,60,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
0,2,46.0,60,Bidder Betty,bid,45.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
1,0,46.0,60,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
1,1,46.0,60,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
1,2,46.0,60,Bidder Charles,hold,0.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
2,0,46.0,60,Bidder Charles,hold,0.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
2,1,48.0,60,Bidder Andy,bid,47.0,43,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
2,2,48.0,60,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
3,0,48.0,60,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
3,1,48.0,60,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
3,2,48.0,60,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
4,0,48.0,60,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
4,1,48.0,60,Bidder Charles,hold,0.0,96,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
4,2,50.0,60,Bidder Betty,bid,49.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 49.0, 'Bidder Charles': 96.0}",Bidder Charles
5,0,52.0,60,Bidder Betty,bid,51.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
5,1,52.0,60,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 47.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
5,2,54.0,60,Bidder Andy,bid,53.0,43,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
6,0,54.0,60,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
6,1,54.0,60,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
6,2,54.0,60,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
7,0,54.0,60,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
7,1,54.0,60,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
7,2,54.0,60,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
8,0,54.0,60,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 53.0, 'Bidder Betty': 51.0, 'Bidder Charles': 96.0}",Bidder Charles
