period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,0,Bidder Andy,bid,43.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,44.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
0,2,44.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
1,0,44.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
1,1,44.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
1,2,44.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
2,0,44.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
2,1,44.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
2,2,44.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 0, 'Bidder Charles': 96.0}",Bidder Charles
3,0,46.0,0,Bidder Betty,bid,45.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
3,1,46.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
3,2,46.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
4,0,46.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
4,1,46.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
4,2,46.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
5,0,46.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
5,1,46.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
5,2,46.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
6,0,46.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
6,1,46.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
6,2,46.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 43.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
7,0,48.0,0,Bidder Andy,bid,47.0,43,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
7,1,48.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
7,2,48.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
8,0,48.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
8,1,48.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 47.0, 'Bidder Betty': 45.0, 'Bidder Charles': 96.0}",Bidder Charles
8,2,51.0,0,Bidder Betty,bid,50.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 50.0, 'Bidder Charles': 96.0}",Bidder Charles
9,0,51.0,0,Bidder Betty,hold,0.0,40,"{'Bidder Andy': 47.0, 'Bidder Betty': 50.0, 'Bidder Charles': 96.0}",Bidder Charles
9,1,51.0,0,Bidder Charles,bid,96.0,96,"{'Bidder Andy': 47.0, 'Bidder Betty': 50.0, 'Bidder Charles': 96.0}",Bidder Charles
9,2,51.0,0,Bidder Andy,hold,0.0,43,"{'Bidder Andy': 47.0, 'Bidder Betty': 50.0, 'Bidder Charles': 96.0}",Bidder Charles
