period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,0,Bidder Betty,bid,3.0,3,"{'Bidder Andy': 0, 'Bidder Betty': 3.0, 'Bidder Charles': 0}",Bidder Betty
0,1,4.0,0,Bidder Andy,bid,60.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 0}",Bidder Andy
0,2,6.0,0,Bidder Charles,bid,5.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 5.0}",Bidder Andy
1,0,6.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 5.0}",Bidder Andy
1,1,11.0,0,Bidder Charles,bid,10.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Andy
1,2,11.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Andy
2,0,11.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 10.0}",Bidder Andy
2,1,21.0,0,Bidder Charles,bid,20.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 20.0}",Bidder Andy
2,2,21.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 20.0}",Bidder Andy
3,0,31.0,0,Bidder Charles,bid,30.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 30.0}",Bidder Andy
3,1,31.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 30.0}",Bidder Andy
3,2,31.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 30.0}",Bidder Andy
4,0,31.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 30.0}",Bidder Andy
4,1,36.0,0,Bidder Charles,bid,35.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 35.0}",Bidder Andy
4,2,36.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 35.0}",Bidder Andy
5,0,36.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 35.0}",Bidder Andy
5,1,51.0,0,Bidder Charles,bid,50.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 50.0}",Bidder Andy
5,2,51.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 50.0}",Bidder Andy
6,0,51.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 50.0}",Bidder Andy
6,1,61.0,0,Bidder Charles,bid,81.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
6,2,61.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
7,0,61.0,0,Bidder Charles,hold,0.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
7,1,61.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
7,2,61.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
8,0,61.0,0,Bidder Charles,hold,0.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
8,1,61.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
8,2,61.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
9,0,61.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
9,1,61.0,0,Bidder Charles,hold,0.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
9,2,61.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
10,0,61.0,0,Bidder Betty,hold,0.0,3,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
10,1,61.0,0,Bidder Andy,hold,0.0,60,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
10,2,61.0,0,Bidder Charles,hold,0.0,81,"{'Bidder Andy': 60.0, 'Bidder Betty': 3.0, 'Bidder Charles': 81.0}",Bidder Charles
