period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,0,Bidder Betty,bid,5.0,"{'Bidder Andy': 0, 'Bidder Betty': 5.0, 'Bidder Charles': 0}",Bidder Betty
0,1,6.0,0,Bidder Andy,bid,24.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 5.0, 'Bidder Charles': 0}",Bidder Andy
0,2,11.0,0,Bidder Charles,bid,10.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 5.0, 'Bidder Charles': 10.0}",Bidder Andy
1,0,11.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 5.0, 'Bidder Charles': 10.0}",Bidder Andy
1,1,13.0,0,Bidder Betty,bid,12.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 12.0, 'Bidder Charles': 10.0}",Bidder Andy
1,2,21.0,0,Bidder Charles,bid,20.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 12.0, 'Bidder Charles': 20.0}",Bidder Andy
2,0,21.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 12.0, 'Bidder Charles': 20.0}",Bidder Andy
2,1,23.0,0,Bidder Betty,bid,22.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 22.0, 'Bidder Charles': 20.0}",Bidder Andy
2,2,25.0,0,Bidder Charles,bid,30.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 22.0, 'Bidder Charles': 30.0}",Bidder Charles
3,0,25.0,0,Bidder Charles,bid,40.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 22.0, 'Bidder Charles': 40.0}",Bidder Charles
3,1,31.0,0,Bidder Betty,bid,30.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 30.0, 'Bidder Charles': 40.0}",Bidder Charles
3,2,31.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 30.0, 'Bidder Charles': 40.0}",Bidder Charles
4,0,31.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 30.0, 'Bidder Charles': 40.0}",Bidder Charles
4,1,36.0,0,Bidder Betty,bid,35.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 40.0}",Bidder Charles
4,2,36.0,0,Bidder Charles,bid,50.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 50.0}",Bidder Charles
5,0,36.0,0,Bidder Charles,bid,60.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 60.0}",Bidder Charles
5,1,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 60.0}",Bidder Charles
5,2,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 60.0}",Bidder Charles
6,0,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 60.0}",Bidder Charles
6,1,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 60.0}",Bidder Charles
6,2,36.0,0,Bidder Charles,bid,70.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 70.0}",Bidder Charles
7,0,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 70.0}",Bidder Charles
7,1,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 70.0}",Bidder Charles
7,2,36.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 70.0}",Bidder Charles
8,0,36.0,0,Bidder Charles,bid,80.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 80.0}",Bidder Charles
8,1,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 80.0}",Bidder Charles
8,2,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 80.0}",Bidder Charles
9,0,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 80.0}",Bidder Charles
9,1,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 80.0}",Bidder Charles
9,2,36.0,0,Bidder Charles,bid,84.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
10,0,36.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
10,1,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
10,2,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
11,0,36.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
11,1,36.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
11,2,36.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 35.0, 'Bidder Charles': 84.0}",Bidder Charles
