period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,0,40,Bidder Andy,bid,30.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,2,2.0,40,Bidder Betty,bid,1.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 1.0, 'Bidder Charles': 0}",Bidder Andy
1,0,4.0,40,Bidder Charles,bid,3.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 1.0, 'Bidder Charles': 3.0}",Bidder Andy
1,1,6.0,40,Bidder Betty,bid,5.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 5.0, 'Bidder Charles': 3.0}",Bidder Andy
1,2,6.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 5.0, 'Bidder Charles': 3.0}",Bidder Andy
2,0,11.0,40,Bidder Betty,bid,10.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Andy
2,1,11.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Andy
2,2,11.0,40,Bidder Andy,bid,35.0,"{'Bidder Andy': 35.0, 'Bidder Betty': 10.0, 'Bidder Charles': 3.0}",Bidder Andy
3,0,13.0,40,Bidder Betty,bid,12.0,"{'Bidder Andy': 35.0, 'Bidder Betty': 12.0, 'Bidder Charles': 3.0}",Bidder Andy
3,1,13.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 35.0, 'Bidder Betty': 12.0, 'Bidder Charles': 3.0}",Bidder Andy
3,2,13.0,40,Bidder Andy,bid,45.0,"{'Bidder Andy': 45.0, 'Bidder Betty': 12.0, 'Bidder Charles': 3.0}",Bidder Andy
4,0,13.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 45.0, 'Bidder Betty': 12.0, 'Bidder Charles': 3.0}",Bidder Andy
4,1,13.0,40,Bidder Andy,bid,60.0,"{'Bidder Andy': 60.0, 'Bidder Betty': 12.0, 'Bidder Charles': 3.0}",Bidder Andy
4,2,16.0,40,Bidder Betty,bid,15.0,"{'Bidder Andy': 60.0, 'Bidder Betty': 15.0, 'Bidder Charles': 3.0}",Bidder Andy
5,0,16.0,40,Bidder Andy,bid,70.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 15.0, 'Bidder Charles': 3.0}",Bidder Andy
5,1,16.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 15.0, 'Bidder Charles': 3.0}",Bidder Andy
5,2,56.0,40,Bidder Betty,bid,55.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
6,0,56.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
6,1,56.0,40,Bidder Andy,bid,75.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
6,2,56.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
7,0,56.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
7,1,56.0,40,Bidder Andy,bid,80.0,"{'Bidder Andy': 80.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
7,2,56.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 80.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
8,0,56.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 80.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
8,1,56.0,40,Bidder Andy,bid,93.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
8,2,56.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
9,0,56.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
9,1,56.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
9,2,56.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
10,0,56.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
10,1,56.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
10,2,56.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 93.0, 'Bidder Betty': 55.0, 'Bidder Charles': 3.0}",Bidder Andy
