period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,50,Bidder Betty,bid,10.0,82,"{'Bidder Andy': 0, 'Bidder Betty': 10.0, 'Bidder Charles': 0}",Bidder Betty
0,1,11.0,50,Bidder Andy,bid,12.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 0}",Bidder Andy
0,2,13.0,50,Bidder Charles,bid,15.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 15.0}",Bidder Charles
1,0,13.0,50,Bidder Charles,bid,20.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 10.0, 'Bidder Charles': 20.0}",Bidder Charles
1,1,20.0,50,Bidder Betty,bid,20.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 20.0, 'Bidder Charles': 20.0}",Bidder Betty
1,2,20.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 20.0, 'Bidder Charles': 20.0}",Bidder Betty
2,0,21.0,50,Bidder Betty,bid,30.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 30.0, 'Bidder Charles': 20.0}",Bidder Betty
2,1,30.0,50,Bidder Charles,bid,30.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 30.0, 'Bidder Charles': 30.0}",Bidder Betty
2,2,30.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 30.0, 'Bidder Charles': 30.0}",Bidder Betty
3,0,30.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 30.0, 'Bidder Charles': 30.0}",Bidder Betty
3,1,31.0,50,Bidder Charles,bid,40.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 30.0, 'Bidder Charles': 40.0}",Bidder Charles
3,2,36.0,50,Bidder Betty,bid,35.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 35.0, 'Bidder Charles': 40.0}",Bidder Charles
4,0,36.0,50,Bidder Charles,bid,45.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 35.0, 'Bidder Charles': 45.0}",Bidder Charles
4,1,46.0,50,Bidder Betty,bid,50.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 50.0, 'Bidder Charles': 45.0}",Bidder Betty
4,2,46.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 50.0, 'Bidder Charles': 45.0}",Bidder Betty
5,0,46.0,50,Bidder Betty,bid,55.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 55.0, 'Bidder Charles': 45.0}",Bidder Betty
5,1,56.0,50,Bidder Charles,bid,60.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 55.0, 'Bidder Charles': 60.0}",Bidder Charles
5,2,56.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 55.0, 'Bidder Charles': 60.0}",Bidder Charles
6,0,60.0,50,Bidder Betty,bid,60.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 60.0, 'Bidder Charles': 60.0}",Bidder Betty
6,1,61.0,50,Bidder Charles,bid,70.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 60.0, 'Bidder Charles': 70.0}",Bidder Charles
6,2,61.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 60.0, 'Bidder Charles': 70.0}",Bidder Charles
7,0,61.0,50,Bidder Charles,bid,80.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 60.0, 'Bidder Charles': 80.0}",Bidder Charles
7,1,81.0,50,Bidder Betty,bid,82.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 80.0}",Bidder Betty
7,2,81.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 80.0}",Bidder Betty
8,0,83.0,50,Bidder Charles,bid,91.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
8,1,83.0,50,Bidder Betty,hold,0.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
8,2,83.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
9,0,83.0,50,Bidder Charles,hold,0.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
9,1,83.0,50,Bidder Betty,hold,0.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
9,2,83.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
10,0,83.0,50,Bidder Andy,hold,0.0,12,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
10,1,83.0,50,Bidder Betty,hold,0.0,82,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
10,2,83.0,50,Bidder Charles,hold,0.0,91,"{'Bidder Andy': 12.0, 'Bidder Betty': 82.0, 'Bidder Charles': 91.0}",Bidder Charles
