period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,0,Bidder Andy,bid,10.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,11.0,0,Bidder Betty,bid,57.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 57.0, 'Bidder Charles': 0}",Bidder Betty
0,2,13.0,0,Bidder Charles,bid,12.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 57.0, 'Bidder Charles': 12.0}",Bidder Betty
1,0,15.0,0,Bidder Andy,bid,14.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 57.0, 'Bidder Charles': 12.0}",Bidder Betty
1,1,18.0,0,Bidder Charles,bid,17.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
1,2,18.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
2,0,18.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
2,1,18.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 14.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
2,2,21.0,0,Bidder Andy,bid,20.0,"{'Bidder Andy': 20.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
3,0,21.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 20.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
3,1,23.0,0,Bidder Andy,bid,22.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
3,2,23.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
4,0,25.0,0,Bidder Andy,bid,24.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
4,1,25.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
4,2,25.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
5,0,25.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
5,1,25.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
5,2,25.0,0,Bidder Andy,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
6,0,25.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
6,1,25.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
6,2,27.0,0,Bidder Andy,bid,26.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
7,0,27.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 26.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
7,1,29.0,0,Bidder Andy,bid,28.0,"{'Bidder Andy': 28.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
7,2,29.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 28.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
8,0,29.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 28.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
8,1,29.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 28.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
8,2,31.0,0,Bidder Andy,bid,30.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
9,0,31.0,0,Bidder Charles,hold,0.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
9,1,31.0,0,Bidder Betty,hold,0.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
9,2,41.0,0,Bidder Andy,bid,40.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 57.0, 'Bidder Charles': 17.0}",Bidder Betty
