period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,0,Bidder Andy,bid,90.0,97,"{'Bidder Andy': 90.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,14.0,0,Bidder Betty,bid,13.0,13,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 0}",Bidder Andy
0,2,21.0,0,Bidder Charles,bid,20.0,80,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 20.0}",Bidder Andy
1,0,26.0,0,Bidder Charles,bid,25.0,80,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 25.0}",Bidder Andy
1,1,26.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 25.0}",Bidder Andy
1,2,26.0,0,Bidder Andy,hold,0.0,97,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 25.0}",Bidder Andy
2,0,26.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 25.0}",Bidder Andy
2,1,26.0,0,Bidder Andy,hold,0.0,97,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 25.0}",Bidder Andy
2,2,31.0,0,Bidder Charles,bid,30.0,80,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 30.0}",Bidder Andy
3,0,36.0,0,Bidder Charles,bid,35.0,80,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 35.0}",Bidder Andy
3,1,36.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 90.0, 'Bidder Betty': 13.0, 'Bidder Charles': 35.0}",Bidder Andy
3,2,36.0,0,Bidder Andy,bid,95.0,97,"{'Bidder Andy': 95.0, 'Bidder Betty': 13.0, 'Bidder Charles': 35.0}",Bidder Andy
4,0,36.0,0,Bidder Andy,hold,0.0,97,"{'Bidder Andy': 95.0, 'Bidder Betty': 13.0, 'Bidder Charles': 35.0}",Bidder Andy
4,1,41.0,0,Bidder Charles,bid,40.0,80,"{'Bidder Andy': 95.0, 'Bidder Betty': 13.0, 'Bidder Charles': 40.0}",Bidder Andy
4,2,41.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 95.0, 'Bidder Betty': 13.0, 'Bidder Charles': 40.0}",Bidder Andy
5,0,41.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 95.0, 'Bidder Betty': 13.0, 'Bidder Charles': 40.0}",Bidder Andy
5,1,41.0,0,Bidder Andy,bid,96.0,97,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 40.0}",Bidder Andy
5,2,46.0,0,Bidder Charles,bid,45.0,80,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 45.0}",Bidder Andy
6,0,46.0,0,Bidder Andy,hold,0.0,97,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 45.0}",Bidder Andy
6,1,51.0,0,Bidder Charles,bid,50.0,80,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 50.0}",Bidder Andy
6,2,51.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 50.0}",Bidder Andy
7,0,51.0,0,Bidder Andy,hold,0.0,97,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 50.0}",Bidder Andy
7,1,51.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 50.0}",Bidder Andy
7,2,61.0,0,Bidder Charles,bid,60.0,80,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 60.0}",Bidder Andy
8,0,80.0,0,Bidder Charles,bid,79.0,80,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 79.0}",Bidder Andy
8,1,80.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 79.0}",Bidder Andy
8,2,80.0,0,Bidder Andy,hold,0.0,97,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 79.0}",Bidder Andy
9,0,80.0,0,Bidder Betty,hold,0.0,13,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 79.0}",Bidder Andy
9,1,80.0,0,Bidder Charles,hold,0.0,80,"{'Bidder Andy': 96.0, 'Bidder Betty': 13.0, 'Bidder Charles': 79.0}",Bidder Andy
9,2,80.0,0,Bidder Andy,bid,97.0,97,"{'Bidder Andy': 97.0, 'Bidder Betty': 13.0, 'Bidder Charles': 79.0}",Bidder Andy
