period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,40,Bidder Charles,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 0, 'Bidder Charles': 1.0}",Bidder Charles
0,1,2.0,40,Bidder Andy,bid,70.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 0, 'Bidder Charles': 1.0}",Bidder Andy
0,2,6.0,40,Bidder Betty,bid,5.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 5.0, 'Bidder Charles': 1.0}",Bidder Andy
1,0,6.0,40,Bidder Andy,bid,75.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 5.0, 'Bidder Charles': 1.0}",Bidder Andy
1,1,11.0,40,Bidder Betty,bid,10.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 10.0, 'Bidder Charles': 1.0}",Bidder Andy
1,2,11.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 10.0, 'Bidder Charles': 1.0}",Bidder Andy
2,0,11.0,40,Bidder Andy,bid,78.0,"{'Bidder Andy': 78.0, 'Bidder Betty': 10.0, 'Bidder Charles': 1.0}",Bidder Andy
2,1,11.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 78.0, 'Bidder Betty': 10.0, 'Bidder Charles': 1.0}",Bidder Andy
2,2,21.0,40,Bidder Betty,bid,20.0,"{'Bidder Andy': 78.0, 'Bidder Betty': 20.0, 'Bidder Charles': 1.0}",Bidder Andy
3,0,21.0,40,Bidder Andy,bid,79.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 20.0, 'Bidder Charles': 1.0}",Bidder Andy
3,1,21.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 20.0, 'Bidder Charles': 1.0}",Bidder Andy
3,2,31.0,40,Bidder Betty,bid,30.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 30.0, 'Bidder Charles': 1.0}",Bidder Andy
4,0,31.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 30.0, 'Bidder Charles': 1.0}",Bidder Andy
4,1,41.0,40,Bidder Betty,bid,40.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 40.0, 'Bidder Charles': 1.0}",Bidder Andy
4,2,41.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 40.0, 'Bidder Charles': 1.0}",Bidder Andy
5,0,41.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 40.0, 'Bidder Charles': 1.0}",Bidder Andy
5,1,51.0,40,Bidder Betty,bid,50.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 50.0, 'Bidder Charles': 1.0}",Bidder Andy
5,2,51.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 50.0, 'Bidder Charles': 1.0}",Bidder Andy
6,0,61.0,40,Bidder Betty,bid,60.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 60.0, 'Bidder Charles': 1.0}",Bidder Andy
6,1,61.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 60.0, 'Bidder Charles': 1.0}",Bidder Andy
6,2,61.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 60.0, 'Bidder Charles': 1.0}",Bidder Andy
7,0,61.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 60.0, 'Bidder Charles': 1.0}",Bidder Andy
7,1,61.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 60.0, 'Bidder Charles': 1.0}",Bidder Andy
7,2,76.0,40,Bidder Betty,bid,75.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 75.0, 'Bidder Charles': 1.0}",Bidder Andy
8,0,76.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 75.0, 'Bidder Charles': 1.0}",Bidder Andy
8,1,76.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 75.0, 'Bidder Charles': 1.0}",Bidder Andy
8,2,80.0,40,Bidder Betty,bid,83.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 83.0, 'Bidder Charles': 1.0}",Bidder Betty
9,0,80.0,40,Bidder Andy,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 83.0, 'Bidder Charles': 1.0}",Bidder Betty
9,1,80.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 83.0, 'Bidder Charles': 1.0}",Bidder Betty
9,2,80.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 79.0, 'Bidder Betty': 83.0, 'Bidder Charles': 1.0}",Bidder Betty
