period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,60,Bidder Andy,bid,50.0,73,"{'Bidder Andy': 50.0, 'Bidder Betty': 0, 'Bidder Charles': 0}",Bidder Andy
0,1,31.0,60,Bidder Betty,bid,30.0,65,"{'Bidder Andy': 50.0, 'Bidder Betty': 30.0, 'Bidder Charles': 0}",Bidder Andy
0,2,41.0,60,Bidder Charles,bid,40.0,85,"{'Bidder Andy': 50.0, 'Bidder Betty': 30.0, 'Bidder Charles': 40.0}",Bidder Andy
1,0,50.0,60,Bidder Betty,bid,50.0,65,"{'Bidder Andy': 50.0, 'Bidder Betty': 50.0, 'Bidder Charles': 40.0}",Bidder Andy
1,1,51.0,60,Bidder Charles,bid,60.0,85,"{'Bidder Andy': 50.0, 'Bidder Betty': 50.0, 'Bidder Charles': 60.0}",Bidder Charles
1,2,60.0,60,Bidder Andy,bid,60.0,73,"{'Bidder Andy': 60.0, 'Bidder Betty': 50.0, 'Bidder Charles': 60.0}",Bidder Andy
2,0,61.0,60,Bidder Andy,bid,65.0,73,"{'Bidder Andy': 65.0, 'Bidder Betty': 50.0, 'Bidder Charles': 60.0}",Bidder Andy
2,1,65.0,60,Bidder Charles,bid,65.0,85,"{'Bidder Andy': 65.0, 'Bidder Betty': 50.0, 'Bidder Charles': 65.0}",Bidder Andy
2,2,65.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 65.0, 'Bidder Betty': 50.0, 'Bidder Charles': 65.0}",Bidder Andy
3,0,65.0,60,Bidder Andy,hold,0.0,73,"{'Bidder Andy': 65.0, 'Bidder Betty': 50.0, 'Bidder Charles': 65.0}",Bidder Andy
3,1,65.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 65.0, 'Bidder Betty': 50.0, 'Bidder Charles': 65.0}",Bidder Andy
3,2,66.0,60,Bidder Charles,bid,70.0,85,"{'Bidder Andy': 65.0, 'Bidder Betty': 50.0, 'Bidder Charles': 70.0}",Bidder Charles
4,0,71.0,60,Bidder Andy,bid,72.0,73,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 70.0}",Bidder Andy
4,1,71.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 70.0}",Bidder Andy
4,2,73.0,60,Bidder Charles,bid,75.0,85,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 75.0}",Bidder Charles
5,0,73.0,60,Bidder Charles,bid,80.0,85,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 80.0}",Bidder Charles
5,1,73.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 80.0}",Bidder Charles
5,2,73.0,60,Bidder Andy,hold,0.0,73,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 80.0}",Bidder Charles
6,0,73.0,60,Bidder Andy,hold,0.0,73,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 80.0}",Bidder Charles
6,1,73.0,60,Bidder Charles,bid,82.0,85,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 82.0}",Bidder Charles
6,2,73.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 82.0}",Bidder Charles
7,0,73.0,60,Bidder Charles,bid,85.0,85,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
7,1,73.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
7,2,73.0,60,Bidder Andy,hold,0.0,73,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
8,0,73.0,60,Bidder Charles,hold,0.0,85,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
8,1,73.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
8,2,73.0,60,Bidder Andy,hold,0.0,73,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
9,0,73.0,60,Bidder Betty,hold,0.0,65,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
9,1,73.0,60,Bidder Andy,hold,0.0,73,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
9,2,73.0,60,Bidder Charles,hold,0.0,85,"{'Bidder Andy': 72.0, 'Bidder Betty': 50.0, 'Bidder Charles': 85.0}",Bidder Charles
