period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,value,max_bids,highest_bidder
0,0,0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 0}",Bidder Betty
0,1,71.0,0,Bidder Charles,bid,70.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
0,2,71.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
1,0,71.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
1,1,71.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
1,2,71.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
2,0,71.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
2,1,71.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 70.0}",Bidder Betty
2,2,73.0,0,Bidder Charles,bid,72.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
3,0,73.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
3,1,73.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
3,2,73.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
4,0,73.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
4,1,73.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
4,2,73.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
5,0,73.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
5,1,73.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 72.0}",Bidder Betty
5,2,75.0,0,Bidder Charles,bid,74.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 74.0}",Bidder Betty
6,0,75.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 74.0}",Bidder Betty
6,1,75.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 74.0}",Bidder Betty
6,2,77.0,0,Bidder Charles,bid,76.0,70,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
7,0,77.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
7,1,80.0,0,Bidder Andy,bid,79.0,21,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
7,2,80.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
8,0,80.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
8,1,80.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
8,2,80.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
9,0,80.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 76.0}",Bidder Betty
9,1,82.0,0,Bidder Charles,bid,81.0,70,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 81.0}",Bidder Betty
9,2,82.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 81.0}",Bidder Betty
10,0,82.0,0,Bidder Betty,bid,86.0,86,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 81.0}",Bidder Betty
10,1,84.0,0,Bidder Charles,bid,83.0,70,"{'Bidder Andy': 79.0, 'Bidder Betty': 86.0, 'Bidder Charles': 83.0}",Bidder Betty
10,2,86.0,0,Bidder Andy,bid,85.0,21,"{'Bidder Andy': 85.0, 'Bidder Betty': 86.0, 'Bidder Charles': 83.0}",Bidder Betty
11,0,86.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 85.0, 'Bidder Betty': 86.0, 'Bidder Charles': 83.0}",Bidder Betty
11,1,86.0,0,Bidder Betty,hold,0.0,86,"{'Bidder Andy': 85.0, 'Bidder Betty': 86.0, 'Bidder Charles': 83.0}",Bidder Betty
11,2,86.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 85.0, 'Bidder Betty': 86.0, 'Bidder Charles': 83.0}",Bidder Betty
12,0,86.0,0,Bidder Andy,hold,0.0,21,"{'Bidder Andy': 85.0, 'Bidder Betty': 86.0, 'Bidder Charles': 83.0}",Bidder Betty
12,1,86.0,0,Bidder Betty,bid,87.0,86,"{'Bidder Andy': 85.0, 'Bidder Betty': 87.0, 'Bidder Charles': 83.0}",Bidder Betty
12,2,86.0,0,Bidder Charles,hold,0.0,70,"{'Bidder Andy': 85.0, 'Bidder Betty': 87.0, 'Bidder Charles': 83.0}",Bidder Betty
